has,prefers,count
Northeast,Northwest,4607
Northwest,Northeast,4593
Northwest,Southeast,2229
Southeast,Northwest,2098
Arlington,Northwest,1485
Northwest,Arlington,1394
Southeast,Northeast,1283
Northeast,Southeast,1138
Southwest,Northwest,582
Northwest,Southwest,538
Southeast,Southwest,267
Arlington,Southeast,266
Southeast,Arlington,243
Southwest,Southeast,236
Northeast,Arlington,192
Arlington,Northeast,181
Northeast,Southwest,146
Southwest,Northeast,130
Southwest,Arlington,93
Arlington,Southwest,73
