subhood,daily_avg,daily_sd,id
Old Glebe,1.0,0.2,218
Bellevue Forest,1.0,0.0,219
Williamsburg,2.0,0.9,220
Parkway-Woodmont,1.1,0.3,221
North Highland,1.7,1.0,222
Maywood,1.3,0.5,223
Arlington - East Falls Church,4.2,2.4,224
Leeway,1.0,0.0,225
Lyon Village,2.3,1.3,226
Tara - Leeway Heights,1.0,0.1,227
Ballston - Virginia Square,5.1,3.3,228
Clarendon - Courthouse,4.3,2.4,229
Highland Park - Overlee Knolls,1.0,0.1,230
Westover Village,1.5,0.5,231
Bluemont,1.8,0.9,232
Lyon Park,3.0,2.0,233
Ashton Heights,2.5,1.3,234
Madison Manor,2.0,0.9,235
Dominion Hills,1.1,0.3,236
Penrose,2.1,1.2,237
Boulevard Manor,1.0,0.2,238
Arlington Forest,1.4,0.6,239
Arlington Heights,1.2,0.4,240
Alcova Heights,2.0,0.9,241
Barcroft,1.4,0.6,242
Glencarlyn,1.1,0.2,243
Old Dominion,1.2,0.4,244
Donaldson Run,1.0,0.2,245
High View Park,1.0,0.1,246
Arlington View,1.0,0.0,247
Columbia Heights,1.6,1.1,248
Douglas Park,1.9,0.9,249
Buckingham,1.5,0.6,250
Yorktown,1.2,0.5,251
Arlington Ridge,2.3,1.3,252
Aurora Highlands,3.3,2.1,253
Radnor/Fort Myer Heights,3.8,2.1,254
Rock Spring,1.1,0.4,255
Chainbridge Forest,1.0,0.0,257
Rivercrest,1.0,0.0,259
Glebewood,1.4,0.5,260
Dover-Crystal,1.0,0.0,262
Colonial Village,1.3,0.6,263
North Rosslyn,2.4,1.6,264
Foxcroft Heights,1.0,0.0,265
Columbia Forest,1.6,0.7,267
Waycroft - Woodlawn,1.3,0.5,268
Waverly Hills,1.8,1.0,269
Nauck,1.6,0.8,270
Fairlington,4.1,2.6,271
Clarmont,1.1,0.4,272
Shirlington,1.6,0.7,273
Cherrydale,2.2,1.1,274
Arlington Mill,1.4,0.6,275
Long Branch Creek,1.9,0.7,276
McMillan Sand Filtration Site,1.2,0.6,15
